25750.071,2023-06-11 11:46:50.861239,1
25750.071,2023-06-11 11:46:51.928990,1
25750.071,2023-06-11 11:46:52.999021,1
25750.071,2023-06-11 11:46:54.059079,1
25750.071,2023-06-11 11:46:55.126950,1
25750.071,2023-06-11 11:46:56.197371,1
25750.071,2023-06-11 11:46:57.270174,1
25750.071,2023-06-11 11:46:58.342118,1
25750.071,2023-06-11 11:46:59.423970,1
25750.071,2023-06-11 11:47:00.504055,1
25750.071,2023-06-11 11:47:01.583107,1
25750.071,2023-06-11 11:47:02.679184,1
25750.071,2023-06-11 11:47:03.752831,1
25750.071,2023-06-11 11:47:04.824194,1
25750.071,2023-06-11 11:47:05.900236,1
